Ad-Hoc Network Best Case Senario Test Record n
136 bytes from 192.168.42.1: icmp_seq=70 ttl=64 time=9.23 ms
136 bytes from 192.168.42.1: icmp_seq=71 ttl=64 time=9.61 ms
136 bytes from 192.168.42.1: icmp_seq=72 ttl=64 time=20.2 ms
136 bytes from 192.168.42.1: icmp_seq=73 ttl=64 time=12.2 ms
136 bytes from 192.168.42.1: icmp_seq=74 ttl=64 time=13.9 ms
136 bytes from 192.168.42.1: icmp_seq=75 ttl=64 time=9.73 ms

--- 192.168.42.1 ping statistics ---
75 packets transmitted, 75 received, 0% packet loss, time 74111ms
rtt min/avg/max/mdev = 8.155/28.931/679.179/102.017 ms
PING 192.168.42.1 (192.168.42.1) 256(284) bytes of data.

264 bytes from 192.168.42.1: icmp_seq=1 ttl=64 time=12.4 ms
264 bytes from 192.168.42.1: icmp_seq=2 ttl=64 time=9.40 ms
264 bytes from 192.168.42.1: icmp_seq=3 ttl=64 time=9.29 ms
264 bytes from 192.168.42.1: icmp_seq=4 ttl=64 time=9.75 ms
264 bytes from 192.168.42.1: icmp_seq=5 ttl=64 time=9.31 ms
264 bytes from 192.168.42.1: icmp_seq=6 ttl=64 time=6.09 ms
264 bytes from 192.168.42.1: icmp_seq=7 ttl=64 time=15.3 ms
264 bytes from 192.168.42.1: icmp_seq=8 ttl=64 time=10.1 ms
264 bytes from 192.168.42.1: icmp_seq=9 ttl=64 time=27.9 ms
264 bytes from 192.168.42.1: icmp_seq=10 ttl=64 time=9.83 ms
264 bytes from 192.168.42.1: icmp_seq=11 ttl=64 time=50.5 ms
264 bytes from 192.168.42.1: icmp_seq=12 ttl=64 time=18.7 ms
264 bytes from 192.168.42.1: icmp_seq=13 ttl=64 time=10.5 ms
264 bytes from 192.168.42.1: icmp_seq=14 ttl=64 time=12.1 ms
264 bytes from 192.168.42.1: icmp_seq=15 ttl=64 time=10.5 ms
264 bytes from 192.168.42.1: icmp_seq=16 ttl=64 time=10.0 ms
264 bytes from 192.168.42.1: icmp_seq=17 ttl=64 time=11.1 ms
264 bytes from 192.168.42.1: icmp_seq=18 ttl=64 time=9.96 ms
264 bytes from 192.168.42.1: icmp_seq=19 ttl=64 time=9.86 ms
264 bytes from 192.168.42.1: icmp_seq=20 ttl=64 time=11.3 ms
264 bytes from 192.168.42.1: icmp_seq=21 ttl=64 time=11.0 ms
264 bytes from 192.168.42.1: icmp_seq=22 ttl=64 time=9.46 ms
264 bytes from 192.168.42.1: icmp_seq=23 ttl=64 time=10.2 ms
264 bytes from 192.168.42.1: icmp_seq=24 ttl=64 time=11.6 ms
264 bytes from 192.168.42.1: icmp_seq=25 ttl=64 time=9.87 ms
264 bytes from 192.168.42.1: icmp_seq=26 ttl=64 time=9.66 ms
264 bytes from 192.168.42.1: icmp_seq=27 ttl=64 time=10.8 ms
264 bytes from 192.168.42.1: icmp_seq=28 ttl=64 time=10.4 ms
264 bytes from 192.168.42.1: icmp_seq=29 ttl=64 time=9.51 ms
264 bytes from 192.168.42.1: icmp_seq=30 ttl=64 time=9.51 ms
264 bytes from 192.168.42.1: icmp_seq=31 ttl=64 time=10.0 ms
264 bytes from 192.168.42.1: icmp_seq=32 ttl=64 time=12.2 ms
264 bytes from 192.168.42.1: icmp_seq=33 ttl=64 time=8.84 ms
264 bytes from 192.168.42.1: icmp_seq=34 ttl=64 time=10.0 ms
264 bytes from 192.168.42.1: icmp_seq=35 ttl=64 time=9.57 ms
264 bytes from 192.168.42.1: icmp_seq=36 ttl=64 time=759 ms
264 bytes from 192.168.42.1: icmp_seq=37 ttl=64 time=3.29 ms
264 bytes from 192.168.42.1: icmp_seq=38 ttl=64 time=10.9 ms
264 bytes from 192.168.42.1: icmp_seq=39 ttl=64 time=9.44 ms
264 bytes from 192.168.42.1: icmp_seq=40 ttl=64 time=15.0 ms
264 bytes from 192.168.42.1: icmp_seq=41 ttl=64 time=9.71 ms
264 bytes from 192.168.42.1: icmp_seq=42 ttl=64 time=9.51 ms
264 bytes from 192.168.42.1: icmp_seq=43 ttl=64 time=9.62 ms
264 bytes from 192.168.42.1: icmp_seq=44 ttl=64 time=9.55 ms
264 bytes from 192.168.42.1: icmp_seq=45 ttl=64 time=10.1 ms
264 bytes from 192.168.42.1: icmp_seq=46 ttl=64 time=25.6 ms
264 bytes from 192.168.42.1: icmp_seq=47 ttl=64 time=10.2 ms
264 bytes from 192.168.42.1: icmp_seq=48 ttl=64 time=12.0 ms
264 bytes from 192.168.42.1: icmp_seq=49 ttl=64 time=12.4 ms
264 bytes from 192.168.42.1: icmp_seq=50 ttl=64 time=15.6 ms
264 bytes from 192.168.42.1: icmp_seq=51 ttl=64 time=10.7 ms
264 bytes from 192.168.42.1: icmp_seq=52 ttl=64 time=9.54 ms
264 bytes from 192.168.42.1: icmp_seq=53 ttl=64 time=9.48 ms
264 bytes from 192.168.42.1: icmp_seq=54 ttl=64 time=9.40 ms
264 bytes from 192.168.42.1: icmp_seq=55 ttl=64 time=9.62 ms
264 bytes from 192.168.42.1: icmp_seq=56 ttl=64 time=9.61 ms
264 bytes from 192.168.42.1: icmp_seq=57 ttl=64 time=10.4 ms
264 bytes from 192.168.42.1: icmp_seq=58 ttl=64 time=13.0 ms
264 bytes from 192.168.42.1: icmp_seq=59 ttl=64 time=21.0 ms
264 bytes from 192.168.42.1: icmp_seq=60 ttl=64 time=10.2 ms
264 bytes from 192.168.42.1: icmp_seq=61 ttl=64 time=9.87 ms
264 bytes from 192.168.42.1: icmp_seq=62 ttl=64 time=9.35 ms
264 bytes from 192.168.42.1: icmp_seq=63 ttl=64 time=9.33 ms
264 bytes from 192.168.42.1: icmp_seq=64 ttl=64 time=9.37 ms
264 bytes from 192.168.42.1: icmp_seq=65 ttl=64 time=10.4 ms
264 bytes from 192.168.42.1: icmp_seq=66 ttl=64 time=717 ms
264 bytes from 192.168.42.1: icmp_seq=67 ttl=64 time=9.50 ms
264 bytes from 192.168.42.1: icmp_seq=68 ttl=64 time=17.1 ms
264 bytes from 192.168.42.1: icmp_seq=69 ttl=64 time=9.60 ms
